Nombre,Avg_viewers,Time_streamed,All_time_peak_viewers,Hours_watched,Rank,Followers_gained,Total_followers,Total_views,Enlace
Criper,295.0,11.7,6272.0,3400.0,16480,-45.0,213000.0,5470000.0,https://twitchtracker.com/criper
Gordoliv,87.0,177.3,3683.0,15400.0,16486,43.0,15500.0,0.0,https://twitchtracker.com/gordoliv
Byfliper06,265.0,19.3,1224.0,5100.0,16510,68400.0,651000.0,0.0,https://twitchtracker.com/byfliper06
Luis16bits,265.0,19.2,5336.0,5100.0,16525,34.0,5700.0,0.0,https://twitchtracker.com/luis16bits
Zenkiu_87,87.0,176.4,125.0,15300.0,16545,59.0,2400.0,0.0,https://twitchtracker.com/zenkiu_87
Elguanaa,144.0,83.0,8711.0,12000.0,16579,-135.0,53800.0,0.0,https://twitchtracker.com/elguanaa
Lluisi,151.0,76.4,1156.0,11600.0,16580,29.0,19900.0,0.0,https://twitchtracker.com/lluisi
Dorianfps,116.0,116.7,1858.0,13500.0,16624,-117.0,9300.0,0.0,https://twitchtracker.com/dorianfps
Joquer,163.0,65.9,1491.0,10800.0,16652,515.0,30500.0,0.0,https://twitchtracker.com/joquer
Siempreted,127.0,101.2,935.0,12800.0,16659,1700.0,2200.0,0.0,https://twitchtracker.com/siempreted
Ttblue_,56.0,301.2,3609.0,16900.0,16670,117.0,15500.0,384000.0,https://twitchtracker.com/ttblue_
Supertradeos,114.0,118.3,7642.0,13500.0,16683,579.0,58200.0,1660000.0,https://twitchtracker.com/supertradeos
Mikolotv,186.0,50.5,5310.0,9400.0,16684,58.0,73800.0,1030000.0,https://twitchtracker.com/mikolotv
Svalive,95.0,153.2,320.0,14600.0,16690,112.0,9000.0,0.0,https://twitchtracker.com/svalive
Mentesanaacl_,236.0,27.6,2904.0,6500.0,16709,382.0,3400.0,0.0,https://twitchtracker.com/mentesanaacl_
Wrag4,265.0,18.3,2397.0,4800.0,16710,408.0,35400.0,0.0,https://twitchtracker.com/wrag4
Shinchan_cine2,26.0,710.7,71.0,18500.0,16712,954.0,3200.0,0.0,https://twitchtracker.com/shinchan_cine2
Lossimpsonenlatino,164.0,64.9,678.0,10600.0,16725,213.0,213.0,0.0,https://twitchtracker.com/lossimpsonenlatino
Soygacht,203.0,41.2,673.0,8300.0,16754,2600.0,16400.0,0.0,https://twitchtracker.com/soygacht
Rdjavihd,154.0,72.3,277.0,11100.0,16760,1100.0,5200.0,0.0,https://twitchtracker.com/rdjavihd
Gazirr,308.0,7.5,2209.0,2300.0,16774,803.0,31000.0,0.0,https://twitchtracker.com/gazirr
Itsshayton,100.0,141.8,3178.0,14200.0,16776,-5200.0,89000.0,8289999.999999999,https://twitchtracker.com/itsshayton
5ro4,226.0,30.8,5693.0,7000.0,16785,443.0,99700.0,673000.0,https://twitchtracker.com/5ro4
Notperera,269.0,16.7,845.0,4500.0,16815,1100.0,40000.0,0.0,https://twitchtracker.com/notperera
Yerayherraan,301.0,8.7,641.0,2600.0,16829,506.0,22500.0,0.0,https://twitchtracker.com/yerayherraan
Riopaser,131.0,94.5,7336.0,12300.0,16839,20.0,38200.0,1020000.0,https://twitchtracker.com/riopaser
Koregenik,105.0,131.5,276.0,13800.0,16843,203.0,1800.0,0.0,https://twitchtracker.com/koregenik
Lilinacchi,92.0,157.4,4356.0,14600.0,16848,83.0,9300.0,0.0,https://twitchtracker.com/lilinacchi
Tqhtpodcast,184.0,50.5,1702.0,9300.0,16865,393.0,5200.0,0.0,https://twitchtracker.com/tqhtpodcast
Eczy_20,275.0,14.5,3206.0,4000.0,16902,3.0,201.0,0.0,https://twitchtracker.com/eczy_20
Sleepwrl,153.0,71.6,503.0,11000.0,16916,273.0,5100.0,0.0,https://twitchtracker.com/sleepwrl
Spongeetl,106.0,128.6,3277.0,13700.0,16925,-528.0,74800.0,677000.0,https://twitchtracker.com/spongeetl
La_tia_cosa_,114.0,115.5,1117.0,13200.0,16926,158.0,14700.0,0.0,https://twitchtracker.com/la_tia_cosa_
Criscampos_8,278.0,13.7,1112.0,3800.0,16928,348.0,6700.0,0.0,https://twitchtracker.com/criscampos_8
Condesavr,149.0,75.3,1273.0,11200.0,16929,580.0,54300.0,0.0,https://twitchtracker.com/condesavr
Shainny_,255.0,20.0,5580.0,5100.0,16937,28.0,200000.0,4890000.0,https://twitchtracker.com/shainny_
Pelispedrin,39.0,442.4,256.0,17500.0,16949,1300.0,2000.0,0.0,https://twitchtracker.com/pelispedrin
Sirtiki,174.0,55.5,3370.0,9700.0,16990,1200.0,14100.0,1550000.0,https://twitchtracker.com/sirtiki
Xcamorex,123.0,101.9,519.0,12600.0,16993,261.0,17000.0,0.0,https://twitchtracker.com/xcamorex
Protegod,88.0,166.1,5418.0,14600.0,17001,251.0,9300.0,0.0,https://twitchtracker.com/protegod
Mouredev,298.0,8.5,6616.0,2500.0,17007,654.0,115000.0,602000.0,https://twitchtracker.com/mouredev
N4rcoseries,26.0,686.5,65.0,18100.0,17009,210.0,1800.0,0.0,https://twitchtracker.com/n4rcoseries
Mtgosalseo,161.0,64.6,797.0,10400.0,17015,107.0,6000.0,0.0,https://twitchtracker.com/mtgosalseo
Zyrpesland,162.0,63.8,1281.0,10300.0,17021,348.0,130000.0,561000.0,https://twitchtracker.com/zyrpesland
Bob_richarson,136.0,86.8,4921.0,11800.0,17030,195.0,40700.0,1130000.0,https://twitchtracker.com/bob_richarson
